UF,População,Média geométrica do pico de infecção das temporadas regulares,região de baixa atividade típica,limiar pré-epidêmico,intensidade alta,intensidade muito alta,SE típica do início do surto,"SE típica do início do surto - IC inferior (2,5%)","SE típica do início do surto - IC superior (97,5%)",duração típica do surto,"duração típica do surto - IC inferior (2,5%)","duração típica do surto - IC superior (97,5%)",temporadas utilizadas para os corredores endêmicos,ano,Unidade da Federação,Tipo,dado,escala
17,1550194,0.06857688397494263,1,0.03225402756042147,0.12901611024168588,0.1935241653625288,,,,,,,"2010, 2011, 2012, 2013, 2014",2017,Tocantins,Estado,sragflu,incidência
21,7000229,0.019270987421999803,1,0.007142623477031966,0.028570493908127863,0.042855740862191787,,,,,,,"2012, 2013, 2014, 2015, 2016",2017,Maranhão,Estado,sragflu,incidência
22,3218485,0.07326375826564574,1,0.015535259601955578,0.09132800114159713,0.11978470480976512,,,,,,,"2011, 2012, 2013, 2014, 2015, 2016",2017,Piauí,Estado,sragflu,incidência
23,9021232,0.0328416588299714,1,0.005542480228864528,0.05237217148881945,0.06826174835685618,,,,,,,"2010, 2011, 2013, 2014, 2015, 2016",2017,Ceará,Estado,sragflu,incidência
24,3507003,0.06489648223651896,1,0.014257187689887919,0.09877830732468597,0.12721407171350266,,,,,,,"2010, 2011, 2012, 2013, 2014, 2015, 2016",2017,Rio Grande do Norte,Estado,sragflu,incidência
25,4025558,0.025660570272576143,1,0.012420638331381635,0.04968255332552655,0.07452382998828982,,,,,,,"2010, 2012, 2013, 2015",2017,Paraíba,Estado,sragflu,incidência
26,9473707,0.023088683587504787,0,0.010627033168234656,0.03343452075429965,0.042976624236896084,24.0,7.0,46.0,3.0,1.0,10.0,"2010, 2011, 2012, 2013, 2014, 2015",2017,Pernambuco,Estado,sragflu,incidência
27,3375382,0.03781176551818999,1,0.014813138187025943,0.07369340065417074,0.09157101117730826,,,,,,,"2010, 2012, 2013, 2014, 2015",2017,Alagoas,Estado,sragflu,incidência
28,2288116,0.0570448295263855,1,0.021852038970052216,0.08740815588020888,0.13111223382031328,,,,,,,"2010, 2015, 2016",2017,Sergipe,Estado,sragflu,incidência
29,15344447,0.016337029190032368,0,0.00908480817726505,0.02315458600375231,0.029627108937920758,22.0,8.0,48.0,9.0,1.0,14.0,"2010, 2011, 2012, 2013, 2014, 2015",2017,Bahia,Estado,sragflu,incidência
31,21119536,0.04882762673080597,0,0.01599766294740734,0.06970364135404546,0.11616745248642912,20.0,15.0,36.0,10.0,8.0,15.0,"2011, 2012, 2014, 2015",2017,Minas Gerais,Estado,sragflu,incidência
32,4016356,0.031088594784988918,1,0.012449095647895756,0.04979638259158302,0.07469457388737452,,,,,,,"2010, 2012, 2014, 2015",2017,Espírito Santo,Estado,sragflu,incidência
33,16718956,0.023306120195903675,0,0.01681252767887639,0.02871436441306097,0.03610722939936317,25.0,9.0,29.0,6.0,1.0,11.0,"2010, 2011, 2012, 2013, 2014, 2015",2017,Rio de Janeiro,Estado,sragflu,incidência
35,45094866,0.0318866915096074,0,0.01888987670636362,0.0607853553295595,0.09697225012120672,17.0,17.0,19.0,10.0,8.0,10.0,"2010, 2011, 2014, 2015",2017,São Paulo,Estado,sragflu,incidência
41,11320892,0.24821070037783075,0,0.08030801187560346,0.3319196515093454,0.5329562642650272,20.0,6.0,22.0,14.0,13.0,15.0,"2010, 2013, 2014, 2015",2017,Paraná,Estado,sragflu,incidência
42,7001161,0.09156062952044487,0,0.024139461277126628,0.12716656788905611,0.1578228462923732,24.0,18.0,26.0,10.0,6.0,16.0,"2010, 2011, 2014, 2015",2017,Santa Catarina,Estado,sragflu,incidência
43,11322895,0.4727855684145558,0,0.04594190754444221,0.7273061566957724,1.3443875654279642,22.0,13.0,27.0,10.0,9.0,12.0,"2011, 2012, 2013, 2014, 2016",2017,Rio Grande do Sul,Estado,sragflu,incidência
50,2713147,0.26823614524130024,0,0.04350693880964149,0.2956709247110558,0.37624761080232894,20.0,19.0,21.0,12.0,6.0,14.0,"2012, 2013, 2014, 2015",2017,Mato Grosso do Sul,Estado,sragflu,incidência
51,3344544,0.03554065670867213,1,0.014949721098003197,0.05979888439201277,0.08969832658801917,,,,,,,"2010, 2011, 2012, 2013, 2014, 2015",2017,Mato Grosso,Estado,sragflu,incidência
52,6778772,0.07409013733283072,0,0.027321479607590952,0.08613308634422269,0.12648199901054658,17.0,13.0,35.0,7.0,1.0,11.0,"2010, 2011, 2012, 2013, 2014, 2015",2017,Goiás,Estado,sragflu,incidência
53,3039444,0.09431346969412444,1,0.01645037710844484,0.12976675606767185,0.1645538679264813,,,,,,,"2010, 2011, 2013, 2014, 2015",2017,Distrito Federal,Estado,sragflu,incidência
